,title,description,price,date_posted,address,url
10,"3 Bdrm Townhouse - 1560 Bloor Street, 3455 Havenwood Drive","DescriptionVisit our Website: https://www.capreit.ca/apartments-for-rent/mississauga-on/bloor-and-havenwood-townhomes/Our townhome communities located at 1560 Bloor and 3455 Havenwood are the perfect setting for you and your family. Both locations, offer three and four bedrooms townhomes for rent in Mississauga.On site professional and friendly staffCourtyardOutdoor parking availableIndoor parking available at Bloor locationPet friendlyWhat's included in your rentWaterHave Questions? Contact the Property Manager: (905) 624-2164","$2,965",2023-02-21 15:53:45,"1560 Bloor Street, 3455 Havenwood Drive, Mississauga, ON, L4X 1R8",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/3-bdrm-townhouse-1560-bloor-street-3455-havenwood-drive/1631154009
11,O'Connor Apartments - 1 Bedroom Apartment for Rent,"DescriptionO'Connor Apartments is a clean and quiet building in East York, which offers many conveniences for residents looking for a high-quality apartment, in a city environment. Our apartment tenants enjoy living in our building, which includes bright &amp; spacious units, hardwood floors, on-site laundry facilities and is only 30 minutes from Downtown Toronto.If you're looking for a unit just outside of the big city with access to greenspace, this is the apartment for you! Our apartment rental units are only a few blocks away from the parklands surrounding the Don River, with Topham Park only minutes away.Essential locations like transit stops, schools, restaurants, the post office and other day-to-day amenities are minutes from our building, while specialty stops like Home Depot, the Toronto City Sports Centre and East York Gymnastics Club can be reached easily on foot. For commuters, access to the Don Valley Parkway can be found up the street at Eglinton Ave E.If you're looking for a well-kept apartment rental in East York, don't miss out on our O'Connor Apartment availabilities! Please note  1 year lease required.Utilities IncludedHeatWater","$1,750",2023-02-21 15:49:32,"994 O'Connor Drive, East York, ON, M4B 2T3",https://www.kijiji.ca/v-apartments-condos/markham-york-region/oconnor-apartments-1-bedroom-apartment-for-rent/1598423508
12,Dawes Apartments - 1 Bedroom Apartment for Rent,"Description★  New Kitchen With Granite Countertop And Upgraded Washrooms ★Dawes Apartments in East York is located just outside of the Toronto city centre. Our apartment tenants enjoy living in our residential community near Victoria Park Ave and St.Clair Ave E.Our rental units offer great conveniences with on-site laundry facilities, close proximity to schools, restaurants, cafes, medical offices and a branch of the Toronto Public Library. If you have little ones, they will love visiting the Joshua Cronkwright Parkette on the other side of our outdoor parking. For commuters, the Don Valley Parkway is accessed minutes down the road via Victoria Park Ave and Eglinton Ave E. If you're taking public transportation, there are transit stops at our doorstep and in addition, only 10 minutes away you can find Main Station or the Danforth Go.Our apartment rental units are a great opportunity for renters who'd like to make a home in an established residential neighbourhood, with close access to city amenities.If you're looking for comfortable and convenient living in a residential community, don't miss out on our Dawes Apartment availabilities! Please note 1 year lease required.Utilities IncludedHeatWater","$1,750",2023-02-21 15:49:29,"508 Dawes Road, East York, ON, M4B 2G3",https://www.kijiji.ca/v-apartments-condos/markham-york-region/dawes-apartments-1-bedroom-apartment-for-rent/1568954109
13,"2 Bdrm à louer au 1216 York Mills Road, Toronto","DescriptionVisit our Website: https://www.capreit.ca/fr/appartements-a-louer/toronto-on/don-view-towers/Rental Office is located at 2265 Victoria Park, ScarboroughThis friendly 8-storey, 65-suite building offers apartments for rent in Toronto’s Parkwood area is truly one of a kind! With healthy Walk Score of 70 and Transit Score of 65 your commute will be hassle-free, as this building is steps from a bus stop and only seconds from the Don Valley Parkway &amp; York Mills. Enjoy the summer months at nearby Fenside Park, which offers tennis courts, a splash pad, and a skating rink. Additionally, Don View Towers is within walking distance of Donview Middle School and Fenside Public School.Indoor/outdoor parking availableLaundry facilitiesSecurity system and controlled entryWhat's included in your rentHeat, WaterHave Questions? Contact the Property Manager: (416) 443-0706","$2,590",2023-02-21 15:46:48,"1216 York Mills Road, Toronto, ON, M3A 1Y6",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdrm-a-louer-au-1216-york-mills-road-toronto/1647476955
14,"2 Bdrm available at 1216 York Mills Road, Toronto","DescriptionVisit our Website: https://www.capreit.ca/apartments-for-rent/toronto-on/don-view-towers/Rental Office is located at 2265 Victoria Park, ScarboroughThis friendly 8-storey, 65-suite building offers apartments for rent in Toronto’s Parkwood area is truly one of a kind! With healthy Walk Score of 70 and Transit Score of 65 your commute will be hassle-free, as this building is steps from a bus stop and only seconds from the Don Valley Parkway &amp; York Mills. Enjoy the summer months at nearby Fenside Park, which offers tennis courts, a splash pad, and a skating rink. Additionally, Don View Towers is within walking distance of Donview Middle School and Fenside Public School.Indoor/outdoor parking availableLaundry facilitiesSecurity system and controlled entryWhat's included in your rentHeat, WaterHave Questions? Contact the Property Manager: (416) 443-0706","$2,590",2023-02-21 15:46:47,"1216 York Mills Road, Toronto, ON, M3A 1Y6",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdrm-available-at-1216-york-mills-road-toronto/1639617806
15,"1 Bdrm à louer au 1216 York Mills Road, Toronto","DescriptionVisit our Website: https://www.capreit.ca/fr/appartements-a-louer/toronto-on/don-view-towers/Rental Office is located at 2265 Victoria Park, ScarboroughThis friendly 8-storey, 65-suite building offers apartments for rent in Toronto’s Parkwood area is truly one of a kind! With healthy Walk Score of 70 and Transit Score of 65 your commute will be hassle-free, as this building is steps from a bus stop and only seconds from the Don Valley Parkway &amp; York Mills. Enjoy the summer months at nearby Fenside Park, which offers tennis courts, a splash pad, and a skating rink. Additionally, Don View Towers is within walking distance of Donview Middle School and Fenside Public School.Indoor/outdoor parking availableLaundry facilitiesSecurity system and controlled entryWhat's included in your rentHeat, WaterHave Questions? Contact the Property Manager: (416) 443-0706","$2,245",2023-02-21 15:46:47,"1216 York Mills Road, Toronto, ON, M3A 1Y6",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-a-louer-au-1216-york-mills-road-toronto/1647477039
16,"1 Bdrm available at 1216 York Mills Road, Toronto","DescriptionVisit our Website: https://www.capreit.ca/apartments-for-rent/toronto-on/don-view-towers/Rental Office is located at 2265 Victoria Park, ScarboroughThis friendly 8-storey, 65-suite building offers apartments for rent in Toronto’s Parkwood area is truly one of a kind! With healthy Walk Score of 70 and Transit Score of 65 your commute will be hassle-free, as this building is steps from a bus stop and only seconds from the Don Valley Parkway &amp; York Mills. Enjoy the summer months at nearby Fenside Park, which offers tennis courts, a splash pad, and a skating rink. Additionally, Don View Towers is within walking distance of Donview Middle School and Fenside Public School.Indoor/outdoor parking availableLaundry facilitiesSecurity system and controlled entryWhat's included in your rentHeat, WaterHave Questions? Contact the Property Manager: (416) 443-0706","$2,245",2023-02-21 15:46:44,"1216 York Mills Road, Toronto, ON, M3A 1Y6",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdrm-available-at-1216-york-mills-road-toronto/1641994541
17,One bedroom basement for rent,"DescriptionOne bedroom basement
New renovated
Separate entrance
Separate laundry
Fearnised
Very clean
Bayview village","$1,800",2023-02-21 15:45:23,"North York, ON M2N",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-basement-for-rent/1651144298
18,Hidden Gem larger then a family house (3br - 1600ft2),"DescriptionBeautiful three bedroom Victorian-era apartment steps from Bloor and Ossington Subway station and Trinity Bellwoods. Soaring ceilings, parking, washer, dryer. At 1600 square feet the unit is so large it spreads over two floors giving it a loft like feel. All appliances are stainless steel. A true gem.","$4,250",2023-02-21 15:44:23,"Dovercourt Road, Toronto, ON",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/hidden-gem-larger-then-a-family-house-3br-1600ft2/1649557818
19,Broadview Loft For Rent with Private Terrace,"DescriptionHard Loft Beauty! 1100+ Square Ft. Private 1+1 that can easily double as two bedrooms, just under 11 foot ceilings, exposed brick and wood beams, huge windows, lots of natural light, polished concrete floors, loads of closet and storage space. Private roof top terrace exclusive to this unit with unobstructed city views included (terrace has water, electricity and loads of room for bbq, dining and lounging). Premium extra-long indoor corner parking spot with lockable indoor bicycle storage for two bicycles (spot is located under monitored security camera). In-suite laundry. Stainless steel appliances (Bosch, Kitchen Aid, etc.).One of a kind space, loads of character with original 1920’s metal fire doors!DVP, Gardiner, Queen and King streetcars, grocery, shops, restaurants, Leslieville, etc. right on your doorstep!Water and heat/AC included. Electricity and internet/cable not included.References and credit check/report required with application.","$3,950FEATURED",2023-02-21 15:44:23,"Broadview Avenue, Toronto, ON",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/broadview-loft-for-rent-with-private-terrace/1649557672
20,"Large, renovated 2 bed apartment, March 1st, $2,349+","DescriptionLarge, renovated, 2 bedroom apartment available March 1st. Open floor plan suite containing a modern kitchen, with stainless steel appliances, including dishwasher, and stone countertops.The unit comes equipped with a heat pump that provide individual heating and air conditioning in each room!$2,349 plus hydro. Water included. Surface and garage parking is available for extra cost.Greystone Apartments are well located in Toronto, with public transit at your doorstep, easy access to the Highway 401 and Humber River Hospital and many amenities nearby.This quiet, pet-friendly building comes equipped with secure access and onsite laundry.NOTE: The apartment not as shown in photos but has the same finishes.Will not last long! For viewing and tours contact Glenda @ 416-836-5241","$2,349",2023-02-21 15:44:23,"2622 Keele Street, North York, ON",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-renovated-2-bed-apartment-march-1st-2-349/1647013586
21,**Spacious 2 bedroom apartment for rent on Yonge and Lawrence**,"DescriptionFairlawn Apartments NOW RENTING.
3464 &amp; 3474 Yonge Street.Spacious fully renovated 2 bedroom apartment for rent near Yonge and Lawrence. Foot steps to bus stop. 8 mins walk to Lawrence and York mills subway stations. Loblaws across the street.-Most desirable area of Toronto
-Quite and nice Neighborhood
-Laundry on site
-Water and Heat included
-Outdoor Parking Available for $125 extraIf you are interested, please call the building manager at 416-480-2237","$2,495FEATURED",2023-02-21 15:44:22,"Toronto, ON M4N 2N4",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-2-bedroom-apartment-for-rent-on-yonge-and-lawrence/1648301375
22,1 Bedroom Apartment for Rent - 100 Gloucester St and 105 Isabell,"DescriptionGloucester and Mulock Apartments, 100 Gloucester St and 105 Isabella Street is located in the The Village neighborhood of Toronto. These buildings amenities including garage parking, onsite management, on site laundry, and elevator. Isabella Apartments are close to it all! Located at Isabella Street and Jarvis Street, these apartments are in the Church-Yonge Corridor neighborhood in Toronto. Nearby parks include Cawthra Square Park, Cawthra Square Park and Norman Jewison Park. 100 Gloucester Street is a five-minute walk from the LINE 1 (Yonge-University) at the Wellesley Station – Northbound Platform stop, also the Bloor–Danforth line. Public transportation is close by, including TTC bus routes! Also, easy access to the DVP and Gardiner Expy. Isabella &amp; Mulock Apartments are within walking distance to the Toronto Public Library, daycares, and Public School. Nearby parks offer a great place to stroll and are a great area for kids to enjoy some playtime. The property is just few minutes away from Toronto Metropolitan University and the University of Toronto. The safest way to find your new home.On-line options available at all properties for ease of rental payments, maintenance requests, and communication with property management – all accessible from your preferred personal device.Please schedule a personalized video call or tour to view available units and amenities by calling, texting or emailing our leasing agents. Disclaimer – Photos, Video, and 360 Virtual Tour for reference only, which give a general sense of building &amp; unit layouts and finishes. Available units and prices may vary based on unit size, location, features, finishes, floor plan, and the occupancy date. Prices stated on the website are starting prices for each unit type, and are subject to change without notice. Errors &amp; Omissions Excepted (E&amp;OE).MapsUtilities IncludedHeatProperty AmenitiesUnderground parkingOutdoor parkingElevatorsLaundry facilitiesClose to SchoolsClose to ShoppingClose to ParksOn-Site Storage FacilitiesOn-Site ManagementParkingPets AllowedNewly RenovatedElevatorSuite AmenitiesStoveDishwasher availableMicrowaveBalconyMicrowave OvenStove/OvenDishwasherTile Floor In KitchenParquet FloorsRangeLaminate Floor In KitchenLinen ClosetBalconies","$2,229",2023-02-21 18:09:50,"100 Gloucester St and, Toronto, ON, M4Y 1N9",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-100-gloucester-st-and-105-isabell/1632838599
23,Bachelor Apartment for Rent - 100 Gloucester St and 105 Isabella,"DescriptionGloucester and Mulock Apartments, 100 Gloucester St and 105 Isabella Street is located in the The Village neighborhood of Toronto. These buildings amenities including garage parking, onsite management, on site laundry, and elevator. Isabella Apartments are close to it all! Located at Isabella Street and Jarvis Street, these apartments are in the Church-Yonge Corridor neighborhood in Toronto. Nearby parks include Cawthra Square Park, Cawthra Square Park and Norman Jewison Park. 100 Gloucester Street is a five-minute walk from the LINE 1 (Yonge-University) at the Wellesley Station – Northbound Platform stop, also the Bloor–Danforth line. Public transportation is close by, including TTC bus routes! Also, easy access to the DVP and Gardiner Expy. Isabella &amp; Mulock Apartments are within walking distance to the Toronto Public Library, daycares, and Public School. Nearby parks offer a great place to stroll and are a great area for kids to enjoy some playtime. The property is just few minutes away from Toronto Metropolitan University and the University of Toronto. The safest way to find your new home.On-line options available at all properties for ease of rental payments, maintenance requests, and communication with property management – all accessible from your preferred personal device.Please schedule a personalized video call or tour to view available units and amenities by calling, texting or emailing our leasing agents. Disclaimer – Photos, Video, and 360 Virtual Tour for reference only, which give a general sense of building &amp; unit layouts and finishes. Available units and prices may vary based on unit size, location, features, finishes, floor plan, and the occupancy date. Prices stated on the website are starting prices for each unit type, and are subject to change without notice. Errors &amp; Omissions Excepted (E&amp;OE).MapsUtilities IncludedHeatProperty AmenitiesUnderground parkingOutdoor parkingElevatorsLaundry facilitiesClose to SchoolsClose to ShoppingClose to ParksOn-Site Storage FacilitiesOn-Site ManagementParkingPets AllowedNewly RenovatedElevatorSuite AmenitiesStoveDishwasher availableMicrowaveBalconyMicrowave OvenStove/OvenDishwasherTile Floor In KitchenParquet FloorsRangeLaminate Floor In KitchenLinen ClosetBalconies","$1,829",2023-02-21 18:09:49,"100 Gloucester St and, Toronto, ON, M4Y 1N9",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent-100-gloucester-st-and-105-isabella/1648589211
24,3BR 2BATH FOR RENT IN SCARBOROUGH - BRIGHT NEW RENO,"DescriptionHome is located in beautiful, quiet neighbourhood close to amenities. Located in Scarborough near Kingston Rd and Scarborough Golf Club Rd. The unit is newly/professionally renovated, and ready for move in!
5 minute walk to TTC bus stop, shopping and elementary school. 5 minute drive to both Guildwood GO and Eglinton GO stations. 10 minute drive to Kennedy station and highway 401.* Bright with 9 foot high ceilings, 1200 sq ft of living space.
* 3 bedrooms, master bedroom with ensuite bath
* 2 full bathrooms
* Large kitchen
* Large living room
* Plenty of storage, with closets in bedrooms and mud room
* Separate entrance
* Shared laundry area
* Use of shared yard
* 2 Car parking on large driveway (unobstructed parking)
* Rent does not include utilities. Tenant will be responsible for 30% of the cost of utilities (water, gas, hydro).
* Unit is located in the basement of the homeNo smoking or pets on premises. Applicants must have credit score of 650 or above and steady income. Please contact Peter at 416-918-9295 for additional details.Dimensions:
Kitchen 13'6"" x 11'6""
Living room 15"" x 11'6""
Br 1: 13'4"" x 11' 7""
Br 2: 11'3"""" x 11'4""
Br 3: 17'7"" x 10'11""
Mudroom : 9' x 9'
Bath1 : 4'11"" x 8'6""
Ensuite Bath: 7' x 6'11""Thank you.","$2,050FEATURED",2023-02-21 15:37:52,"Scarborough, ON M1J 3G3",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3br-2bath-for-rent-in-scarborough-bright-new-reno/1650403793
25,2 Bedroom + Den Apartment For Rent near Ossington Strip,"DescriptionA large, beautiful 2 bedroom + den apartment located steps away from the Ossington Strip. It is a newly renovated space with lots of natural light and charm. On the first floor, the apartment boasts two spacious bedrooms, a den/home office, large dining room, living room, kitchen and main bathroom. The kitchen has an electric range, fridge and dishwasher. The main bathroom is equipped with double sinks and a bathtub-shower. In the basement there is a spacious open area, a second bathroom with a bathtub-shower and laundry room with a utility sink and washer and dryer. The apartment has use of the outdoor space at the back of the house. Located in a fantastic neighbourhood and walking distance to transit, parks, shops and restaurants. Utilities included.","$3,995",2023-02-21 15:37:32,"Toronto, ON M6G 1C1",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-den-apartment-for-rent-near-ossington-strip/1651143444
26,TORONTO WATERFRONT ONE BEDROOM PLUS DEN.,"DescriptionWe have a beautiful renovated Waterfront One Bedroom Den, 639 sq ft. Multiple occupancy dates on a one-year lease!!Flexible Move-In Dates!!CONTACT US FOR MORE DETAILS!!If you are interested in making an appointment to view an apartment please feel free to contact me at kshmidt@quayrentals.ca or call 416-345-1610 and ask for Kate.Our Apartments have Breathtaking views of Lake Ontario, Toronto Islands, Billy Bishop airport and/or the Toronto skyline.Parking is also available.Water included; Hydro (heating, cooling, and electricity) extra.We are a walking distance from some of Toronto's main attractions; the CN Tower, the Rogers Center, the Air Canada Centre, Ripleys Aquarium, and Union Station.We also have an amazing amenities package for an upgrade that includes a business center, gym, and cinema room that is available as an upgrade.Unit Features:Spacious and Bright Living Rooms Private Solarium/Den perfect for viewing Lake OntarioStainless Steel RefrigeratorStainless Steel StoveStainless Steel DishwasherStainless Steel MicrowaveQuartz Counter-topProperty features include:Guest suite24-hourConcierge ServiceOn-site Management StaffOn-site LaundryLive-in Maintenance team providing prompt and courteous serviceShoppers Drug MartConvenience StoreRestaurantNail SalonDry CleanersAnimal HospitalBeer StoreIndoor Parking is for an extra charge monthlyPlease check our website: http://www.quayrentals.ca/apartments.cfmPhotos are not of exact suite available or indicative of product quality and finishing. Prices and availability are subject to change.","$2,627",2023-02-21 15:34:25,"390 Queens Quay West, Toronto, ON, M5V 3A7",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/toronto-waterfront-one-bedroom-plus-den/1648119658
